dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image175_0.png,15.95502,0.73984647,0.73104745,0.65543216,0.24274465,,0.20587045,0.21815385,0.2574312,,,12.728309,62.701843,0.2333223
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image176_0.png,15.657637,0.73032373,0.7107926,0.64245224,0.23647162,,0.21148826,0.22449392,0.24795817,,,12.750699,63.462097,0.23911174
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image177_0.png,15.929913,0.7225756,0.72877026,0.6516059,0.24195372,,0.20876291,0.22116537,0.2499904,,,12.862601,62.27899,0.3041541
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image178_0.png,15.749445,0.71452266,0.7218728,0.6502585,0.24051684,,0.21002024,0.22262225,0.25142634,,,13.041772,62.00653,0.2841157
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image179_0.png,15.55777,0.7116784,0.71674067,0.64627063,0.23864292,,0.20914374,0.22181502,0.25346044,,,13.270305,63.12323,0.32088822
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image18_0.png,22.54504,0.60320103,0.86046225,0.6790454,0.16138041,,0.10808591,0.11394755,0.34849754,,,5.439879,83.2746,0.22480775
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image180_0.png,16.546757,0.72805095,0.7523381,0.6719844,0.24643469,,0.20422426,0.21601853,0.2567839,,,12.569951,60.977234,0.28296763
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image181_0.png,17.372051,0.7430409,0.80137646,0.7137516,0.2528262,,0.19101031,0.20189865,0.27294445,,,12.802736,59.108093,0.3401863
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image182_0.png,17.590342,0.7578983,0.8347437,0.74096197,0.2527713,,0.1828575,0.19301252,0.28771877,,,12.413899,58.09491,0.27547714
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image183_0.png,17.775421,0.7573912,0.8311785,0.7358688,0.25453284,,0.18339749,0.1931832,0.27918407,,,12.802247,59.55243,0.28294593
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image184_0.png,17.65879,0.7445257,0.83953786,0.7430758,0.24965441,,0.18053506,0.19049136,0.28628135,,,12.572399,58.707703,0.265938
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image185_0.png,17.002695,0.72720057,0.83171356,0.72837174,0.24419013,,0.18101344,0.1910409,0.28540558,,,11.786467,58.03534,0.3078715
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image186_0.png,16.772472,0.71725404,0.8230249,0.71917814,0.25420803,,0.18247546,0.19292241,0.2817261,,,11.8451185,59.82489,0.30428144
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image187_0.png,16.575424,0.72673607,0.81866825,0.71572834,0.2561417,,0.18220487,0.19273083,0.2811109,,,11.725511,60.18524,0.32168677
