dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_428.png,31.09364,0.77131885,0.88556397,0.82479143,0.14704502,,0.10341309,0.097402625,0.5773648,,,26.795559,50.570496,0.81114763
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_429.png,29.733513,0.7146894,0.86051244,0.7855327,0.115291566,,0.109671324,0.10514928,0.55408967,,,32.709576,77.30243,0.8426436
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_430.png,30.578144,0.47611445,0.8587366,0.7726364,0.17825395,,0.07216137,0.07783898,0.64975667,,,30.702908,34.869812,0.65595895
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_431.png,30.632002,0.6696778,0.88050044,0.8120836,0.13048904,,0.081896074,0.07973625,0.6344153,,,29.847189,77.72284,0.7190275
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_432.png,31.650494,0.5383474,0.87851954,0.8017889,0.18084957,,0.060687106,0.06531784,0.70458406,,,26.771805,46.565613,0.5950822
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_433.png,30.8065,0.6530477,0.87907344,0.80361956,0.14054322,,0.075428545,0.07566753,0.6498579,,,28.680872,84.69794,0.69308376
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_434.png,28.509472,0.6135408,0.8562057,0.78164554,0.10635137,,0.08573568,0.08655825,0.61833966,,,40.685307,68.89447,0.60869336
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_435.png,31.368418,0.49004358,0.8612663,0.7771192,0.1853387,,0.06995471,0.07260553,0.66672105,,,26.966326,45.80194,0.59596914
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_436.png,30.9779,0.79044706,0.8879737,0.83188254,0.15050851,,0.108340725,0.10188257,0.57150686,,,30.499208,48.1037,0.7610331
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_437.png,29.810038,0.7758318,0.87938386,0.8170946,0.13291119,,0.10032893,0.096779086,0.5968586,,,36.740433,64.817566,0.737165
