dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_227.png,31.773901,0.78019977,0.8925286,0.88546336,0.36360118,,0.13646974,0.12076982,0.64670867,,,21.01552,35.016785,0.2632173
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_228.png,32.265293,0.7889914,0.89569545,0.88751316,0.35750443,,0.13460892,0.11799321,0.66117114,,,19.734297,33.16327,0.28552386
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_229.png,32.345024,0.7861771,0.89483535,0.8849645,0.36015218,,0.13765012,0.12045482,0.6648696,,,19.85448,30.082703,0.30476338
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_230.png,35.5878,0.8641648,0.9367272,0.9270327,0.41804004,,0.09037911,0.07987276,0.7462549,,,13.650343,30.469177,0.46725342
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_231.png,31.877096,0.7782185,0.8908441,0.88078207,0.36982524,,0.1340484,0.119534,0.66809,,,21.356632,30.724304,0.28890598
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_232.png,32.15547,0.7892963,0.8971691,0.8880734,0.37422702,,0.12785317,0.114561036,0.66974103,,,20.33036,34.18524,0.2400094
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_233.png,31.533829,0.77765226,0.8895215,0.88162893,0.3740861,,0.13727555,0.122377925,0.6597579,,,21.67628,32.001892,0.3285894
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_234.png,30.888424,0.76072866,0.87910235,0.8708082,0.35956746,,0.14351812,0.12822482,0.6414594,,,22.90919,34.319763,0.2900456
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_235.png,30.123936,0.74310625,0.8702842,0.8655196,0.35308543,,0.15171161,0.13574988,0.6386501,,,25.258516,37.531433,0.2967082
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_236.png,32.88066,0.8182042,0.91242033,0.90573347,0.41504267,,0.11551172,0.10376164,0.7052839,,,19.34382,34.07831,0.2976954
