Metric,Dataset,Config1,Config2,Mean1,Mean2,Var1,Var2,N1,N2,P-Value
GMSD,mice,sparse8_recon_all,sparse256_recon_all,0.2615601121532847,0.08651008112043795,9.721963920366753e-05,0.0005872823946772497,274,274,9.752967559893619e-281
IWSSIM,mice,sparse4_recon_all,sparse64_recon_all,0.24242624671532845,0.592746767919708,0.0026801348807654743,0.00360696003754615,274,274,1.6361372987250656e-280
MSSSIM,mice,sparse8_recon_all,sparse128_recon_all,0.42152456350364964,0.8152254715693431,0.004707899430553488,0.0023758287552973867,274,274,6.408843037146676e-278
PSNR,mice,sparse4_recon_all,sparse256_recon_all,16.78123624817518,34.278676368613134,9.38698475001294,7.12251658842054,274,274,1.3480713287327086e-275
PSNR_norm,mice,sparse4_recon_all,sparse256_recon_all,0.20976545221167883,0.428483454379562,0.001466716372564671,0.001112893234497926,274,274,1.3480714184599514e-275
S3IM,phantom,BP_phantom_8,BP_phantom_64,0.2910127608229038,0.4847179539694314,0.003887004571727731,0.00248639894365984,469,469,1.893560113258585e-275
FSIM,mice,sparse4_recon_all,sparse256_recon_all,0.7045324151854978,0.8765162929664408,0.0007219204552678369,0.0001604678446018016,274,274,1.6261390612664445e-272
SSIM,phantom,BP_phantom_8,BP_phantom_64,0.49091353660980813,0.6706381742217483,0.0035438412391984903,0.0018899919954803617,469,469,1.3954736909844094e-271
MSSSIM,mice,sparse16_recon_all,sparse128_recon_all,0.4562469468613139,0.8152254715693431,0.00431320539451909,0.0023758287552973867,274,274,4.094040136658556e-269
MSSSIM,mice,sparse8_recon_all,sparse256_recon_all,0.42152456350364964,0.9386148185766423,0.004707899430553488,0.0004078699573191646,274,274,1.0406031011014747e-267
PSNR,phantom,BP_phantom_32,BP_phantom_128,21.295707470149257,30.315234364605544,9.237529205737516,4.666713195797719,469,469,1.4343839797403295e-267
PSNR_norm,phantom,BP_phantom_32,BP_phantom_128,0.26619634392324093,0.37894043019189766,0.0014433639554630913,0.0007291739296991746,469,469,1.4343877400275338e-267
MSSSIM,mice,sparse16_recon_all,sparse256_recon_all,0.4562469468613139,0.9386148185766423,0.00431320539451909,0.0004078699573191646,274,274,2.8259479022436534e-266
IWSSIM,mice,sparse8_recon_all,sparse64_recon_all,0.2697494637591241,0.592746767919708,0.001901623250564456,0.00360696003754615,274,274,1.3464575101356213e-265
PSNR,mice,sparse16_recon_all,sparse256_recon_all,18.053627722627738,34.278676368613134,9.243540628413147,7.12251658842054,274,274,4.973581187372505e-261
PSNR_norm,mice,sparse16_recon_all,sparse256_recon_all,0.22567034678832118,0.428483454379562,0.0014443033199650944,0.001112893234497926,274,274,4.973651501915164e-261
SSIM,mice,sparse8_recon_all,sparse128_recon_all,0.2660147031751825,0.6695172039416059,0.004361472976700185,0.005847525877234762,274,274,1.7829643736568914e-259
GMSD_norm,mice,sparse64_recon_all,sparse256_recon_all,0.6257026287956204,0.2471716637481752,0.004978862131762598,0.004794142120468797,274,274,7.690952186899754e-254
GMSD,mice,sparse64_recon_all,sparse256_recon_all,0.21899591704379562,0.08651008112043795,0.000609910606274072,0.0005872823946772497,274,274,7.690973694606909e-254
PSNR,phantom,BP_phantom_16,BP_phantom_64,17.600306798507464,25.96061869083156,8.004600841720006,6.313478239377514,469,469,3.2610282184983506e-252
PSNR_norm,phantom,BP_phantom_16,BP_phantom_64,0.22000383558635397,0.32450773371002134,0.0012507189101783986,0.0009864809993969793,469,469,3.2610644308550435e-252
FSIM,phantom,BP_phantom_64,BP_phantom_128,0.9126039568368332,0.9529241040911983,0.00019719519464559142,0.00013371295214142486,469,469,1.0070060375070519e-250
HAARPSI,phantom,BP_phantom_32,BP_phantom_64,0.3596362888699361,0.47981814443496795,0.0012057918779145753,0.001761811109336397,469,469,1.396124024572102e-249
SSIM,mice,sparse16_recon_all,sparse128_recon_all,0.2853397030656934,0.6695172039416059,0.004353322466236257,0.005847525877234762,274,274,2.0317000444349447e-249
MSGMSD_norm,mice,sparse64_recon_all,sparse256_recon_all,0.5754569793430657,0.21895935920072992,0.005036053203558467,0.003763405948020179,274,274,2.586988167818448e-249
MSGMSD,mice,sparse64_recon_all,sparse256_recon_all,0.2014099393576642,0.07663577439051095,0.0006169165291571732,0.00046101721584592293,274,274,2.5870135151480783e-249
VIF,phantom,BP_phantom_8,BP_phantom_32,0.031472729319829425,0.05743325797441364,2.7033187539859012e-05,9.030914465275885e-05,469,469,2.232509811453622e-246
MSSSIM,phantom,BP_phantom_32,BP_phantom_64,0.6984361257356076,0.8045159962046909,0.0015197139634564015,0.000871382099828271,469,469,4.186928924495851e-241
VIF,mice,sparse32_recon_all,sparse256_recon_all,0.07699146623357664,0.4508428650364963,0.0004894269470539322,0.004196645662851905,274,274,8.856517359648937e-238
S3IM,mice,sparse8_recon_all,sparse128_recon_all,0.24921088721101448,0.6245978152090625,0.004023395584126446,0.006586706396885535,274,274,7.479268755208245e-236
VIF,mice,sparse64_recon_all,sparse256_recon_all,0.12729994073722625,0.4508428650364963,0.001022988719251905,0.004196645662851905,274,274,2.8450860106760167e-235
IWSSIM,mice,sparse64_recon_all,sparse256_recon_all,0.592746767919708,0.9282778853284672,0.00360696003754615,0.00045865961455709606,274,274,3.2690808495920446e-235
VIF,mice,sparse16_recon_all,sparse256_recon_all,0.052087869,0.4508428650364963,0.000263060918479676,0.004196645662851905,274,274,7.668146050203137e-235
VIF,mice,sparse8_recon_all,sparse256_recon_all,0.03871587909124087,0.4508428650364963,0.0001544388579987863,0.004196645662851905,274,274,1.077930960704645e-232
VIF,mice,sparse4_recon_all,sparse256_recon_all,0.032426336916058396,0.4508428650364963,0.00010945935632801666,0.004196645662851905,274,274,8.606147342302183e-232
TV,mice,sparse8_recon_all,sparse256_recon_all,37.973876602189776,14.274705264963504,27.709453358846403,12.5681058229157,274,274,3.0831523361491907e-230
FSIM,phantom,BP_phantom_8,BP_phantom_16,0.7597859357374862,0.8136136433879524,0.00039381971347710596,0.00029935780037723,469,469,4.0326070550112206e-230
MSSSIM,mice,sparse4_recon_all,sparse256_recon_all,0.42749356412408757,0.9386148185766423,0.007295031258039373,0.0004078699573191646,274,274,1.2241314349771948e-229
VIF,phantom,BP_phantom_32,BP_phantom_64,0.05743325797441364,0.09267357176972281,9.030914465275885e-05,0.00018948039253787567,469,469,1.3519455953413178e-228
MSSSIM,mice,sparse32_recon_all,sparse256_recon_all,0.5438196732116789,0.9386148185766423,0.004943970963257772,0.0004078699573191646,274,274,3.6307256390380754e-227
S3IM,mice,sparse16_recon_all,sparse128_recon_all,0.26532576894442644,0.6245978152090625,0.004114822296020704,0.006586706396885535,274,274,4.615940016766294e-227
MSSSIM,mice,sparse4_recon_all,sparse128_recon_all,0.42749356412408757,0.8152254715693431,0.007295031258039373,0.0023758287552973867,274,274,1.99847763282619e-226
IWSSIM,mice,sparse16_recon_all,sparse64_recon_all,0.3287301204379562,0.592746767919708,0.002053334971740081,0.00360696003754615,274,274,2.022966585109714e-226
SSIM,mice,sparse4_recon_all,sparse128_recon_all,0.28990393664233577,0.6695172039416059,0.006945135819849961,0.005847525877234762,274,274,6.220206450823105e-226
TV,denoising,10db,40db,4.904752733031864,3.253626200114083,11.124346395784379,1.2772521009100546,5084,5084,1.5314092005562376e-225
S3IM,mice,sparse64_recon_all,sparse256_recon_all,0.45245925089885264,0.8339743381148179,0.007289329469480925,0.002336117937574893,274,274,2.0763124481564646e-223
PSNR,mice,sparse32_recon_all,sparse256_recon_all,21.170961348540143,34.278676368613134,8.741778308796315,7.12251658842054,274,274,1.22376848061849e-221
PSNR_norm,mice,sparse32_recon_all,sparse256_recon_all,0.26463701686131386,0.428483454379562,0.001365902859713854,0.001112893234497926,274,274,1.2237705794367222e-221
BRISQUE,denoising,30db,40db,94.67632990833988,100.99071151376869,156.5823942661092,30.357993224601113,5084,5084,3.472359805954855e-221
TV,denoising,10db,50db,4.904752733031864,3.273039444421912,11.124346395784379,1.286890526884845,5084,5084,1.3900535402228167e-220
CLIP-IQA,denoising,20db,50db,0.14240247860778915,0.09687486003147128,0.007848096248002168,0.0019515854127537882,5084,5084,1.867047623598412e-220
